Class name	IDS Label Sequece
说	0 127 1 128 1 129 130 
㐻	0 131 132 
蓳	1 133 1 134 10 
䆎	0 135 2 3 136 0 137 137 1 138 139 
喹	0 129 1 140 1 141 141 
窛	1 1 142 143 4 1 139 144 145 
霎	1 146 1 147 145 
㞡	5 148 1 1 0 149 149 0 149 149 150 
児	1 0 151 152 130 
忛	0 153 6 154 155 
諓	0 156 1 136 136 
胘	0 157 1 158 159 
䌘	1 0 160 161 162 
䀕	0 163 0 164 151 
銜	0 0 165 166 1 139 167 
柴	1 0 168 169 170 
䞷	4 1 141 171 5 148 172 
袚	0 173 4 5 174 175 155 
婼	0 145 1 133 5 174 129 
管	1 11 1 142 176 
层	5 148 1 177 178 
䂥	0 179 180 
構	0 170 1 1 181 139 182 
趐	4 1 141 171 0 183 183 
怇	0 153 184 
懣	1 0 185 1 134 7 186 0 187 187 188 
垁	0 141 1 189 140 
㬅	1 1 152 190 191 
㥋	1 0 131 192 188 
裒	1 1 158 193 150 
彙	1 1 194 195 196 
䠋	0 1 129 168 1 12 197 
剄	0 1 1 139 198 149 199 
䩦	1 0 0 131 151 161 200 
疶	5 201 202 
噿	0 129 1 0 183 183 1 1 158 0 137 137 197 
黦	0 203 1 142 0 204 205 
唦	0 129 0 185 1 206 207 
踵	0 1 129 168 208 
誙	0 156 1 1 139 198 149 
㧩	0 209 6 154 1 139 186 
构	0 170 2 210 178 
䏘	0 157 8 211 130 
懌	0 153 1 190 1 141 1 128 212 
坾	0 141 1 142 167 
䢄	0 1 1 178 129 170 1 1 147 197 170 
砹	0 179 1 133 213 
徥	0 165 1 152 1 139 171 
譿	0 156 1 1 0 214 214 215 188 
㒱	1 187 204 
嫪	0 145 1 0 183 183 1 137 216 
陱	0 217 2 210 218 
壡	0 1 1 1 219 6 220 139 143 1 137 163 1 175 141 
㾕	5 201 1 147 197 
铕	0 221 5 174 157 
冺	0 222 180 
惂	0 153 1 210 193 
砪	0 179 223 
䐢	0 157 1 2 210 13 2 210 13 
庖	5 224 225 
䓲	1 133 0 131 1 128 1 129 130 
䔊	1 133 0 226 1 128 1 139 227 
迯	4 228 0 204 229 
㧔	0 209 230 
湒	0 185 1 129 231 
呚	0 129 161 
阫	0 217 232 
儥	0 131 1 233 1 190 1 163 143 
烶	0 234 4 235 1 207 233 
汘	0 185 236 
宄	1 142 237 
棿	0 170 1 193 130 
㭭	0 170 0 1 129 238 199 
䃐	0 179 1 1 142 143 239 
瀷	0 185 1 0 183 183 1 240 1 241 143 
翻	0 1 242 240 0 183 183 
䍺	0 243 1 244 188 
陯	0 217 1 1 137 139 6 220 245 
庯	5 224 246 
䥐	1 0 247 1 248 238 166 
喦	1 1 129 0 129 129 249 
匦	8 211 0 250 237 
㧖	0 209 5 251 252 
跩	0 1 129 168 253 
千	236 
霐	1 146 0 185 0 164 178 
祤	0 254 0 183 183 
釲	0 166 255 
鍔	0 166 1 0 129 129 1 139 256 
砣	0 179 1 142 169 
呝	0 129 5 251 252 
劯	0 179 238 
亭	1 1 1 158 129 195 167 
禓	0 254 1 1 152 139 2 210 0 207 207 
鬲	1 1 139 129 6 220 1 128 1 139 151 
䤊	0 257 1 133 231 
楓	0 170 6 154 1 207 258 
俓	0 131 1 1 139 198 149 
杨	0 170 259 
傜	0 131 1 260 261 
堵	0 141 5 262 152 
硈	0 179 1 233 129 
覹	0 1 163 130 0 165 0 1 1 249 139 154 161 
橘	0 170 1 247 6 220 1 143 129 
䪥	0 1 1 219 6 220 139 1 163 143 1 175 1 138 139 
呂	1 1 129 207 129 
朝	0 1 197 1 152 197 157 
㪑	0 1 140 263 1 219 175 
傱	0 131 0 165 1 0 137 137 171 
腰	0 157 1 264 145 
瓙	0 226 1 1 1 1 1 233 265 149 139 0 129 266 267 
㙵	0 141 1 1 1 158 129 6 220 129 141 
曩	1 152 1 1 158 1 0 129 129 1 181 139 150 
滬	0 185 5 251 1 129 268 
䉌	1 11 0 217 1 128 269 
㓆	0 222 1 137 169 
鬐	1 0 270 216 1 5 262 169 152 
熵	0 234 1 1 158 128 6 220 1 143 129 
諼	0 156 1 1 260 139 5 174 175 
㥩	0 153 5 262 152 
肕	0 157 2 271 207 
氩	2 272 273 
䨻	1 0 1 146 240 1 146 240 0 1 146 240 1 146 240 
僉	1 1 1 137 139 0 129 129 0 137 137 
里	274 
廴	235 
藅	1 133 1 190 0 156 199 
俦	0 131 5 14 266 
丑	275 
彧	2 15 1 129 139 
舏	0 1 236 129 276 
珳	0 226 4 277 216 
俎	0 1 137 137 278 
毿	0 1 1 1 178 0 178 178 137 216 279 
夰	1 140 0 207 151 
麿	5 224 1 0 170 170 1 129 129 
鏹	0 166 0 164 1 129 258 
鐅	1 0 160 161 166 
搘	0 209 1 5 262 169 152 
葽	1 133 1 264 145 
于	280 
疺	5 201 1 207 281 
逷	4 228 1 152 2 210 0 207 207 
躓	0 1 129 168 1 0 282 282 1 163 143 
侍	0 131 1 141 266 
浣	0 185 1 142 1 139 144 
痹	5 201 1 240 283 
夥	0 196 1 204 204 
瑌	0 226 1 284 140 
㜅	0 145 1 1 158 159 240 
晷	1 152 1 4 248 229 129 
弝	0 164 268 
諠	0 156 1 142 1 139 1 152 139 
焚	1 0 170 170 234 
鍞	0 166 1 219 1 163 143 
檿	5 285 1 0 1 152 157 239 170 
敝	0 160 161 
昬	1 180 152 
哪	0 129 0 16 217 
囦	9 286 287 
萃	1 133 1 1 158 0 137 137 197 
徵	0 165 0 1 1 249 139 226 161 
舩	0 288 1 143 178 
澇	0 185 1 1 0 234 234 195 238 
䖲	0 258 2 210 152 
㒦	0 131 1 1 240 0 240 240 141 
嫡	0 145 1 1 158 128 6 220 1 197 129 
鎛	0 166 1 246 266 
旀	0 191 1 178 206 
癆	5 201 1 1 0 234 234 195 238 
名	1 204 129 
䜗	0 156 1 6 9 17 139 129 188 
㗃	0 129 1 180 152 
嶤	1 249 1 1 141 0 141 141 144 
尅	4 1 1 197 129 130 266 
㦯	2 136 1 178 139 
轼	0 250 2 289 149 
扠	0 209 9 175 155 
䩸	0 200 1 133 231 
秈	0 135 249 
欌	0 170 1 133 6 0 290 136 291 
娣	0 145 1 128 18 
赌	0 292 5 262 152 
䖮	0 258 6 1 207 220 129 
挫	0 209 7 141 0 137 137 
攇	0 209 1 1 1 142 214 190 188 
窥	1 1 142 143 0 293 294 
倂	0 131 0 1 207 212 1 207 212 
