The number of basic chinese ids elements is: 571
Element	Label
⿰	0
⿱	1
⿹	2
⿶	3
⿺	4
⿸	5
⿵	6
⿻	7
⿷	8
⿴	9
CODE_019;	10
CODE_002;	11
CODE_020;	12
CODE_015;	13
CODE_011;	14
CODE_053;	15
CODE_005;	16
CODE_001;	17
CODE_003;	18
CODE_016;	19
CODE_032;	20
CODE_008;	21
CODE_033;	22
CODE_050;	23
CODE_031;	24
CODE_007;	25
CODE_006;	26
CODE_026;	27
CODE_055;	28
CODE_047;	29
CODE_025;	30
CODE_042;	31
CODE_054;	32
CODE_037;	33
CODE_039;	34
CODE_021;	35
CODE_045;	36
CODE_044;	37
CODE_043;	38
CODE_034;	39
CODE_038;	40
CODE_040;	41
CODE_030;	42
CODE_014;	43
CODE_036;	44
CODE_048;	45
CODE_046;	46
CODE_052;	47
CODE_029;	48
CODE_060;	49
CODE_059;	50
CODE_057;	51
CODE_051;	52
CODE_035;	53
CODE_049;	54
CODE_056;	55
&CDP-8BCB;	56
&CDP-89EE;	57
CODE_012;	58
&CDP-884A;	59
CODE_009;	60
&CDP-8B7C;	61
&CDP-885E;	62
&CDP-8CB5;	63
CODE_024;	64
&CDP-89C5;	65
&CDP-8BD0;	66
&CDP-8CBB;	67
&CDP-88C8;	68
&CDP-89CC;	69
&CDP-8CAC;	70
&CDP-8D46;	71
&CDP-8BF8;	72
CODE_004;	73
&CDP-8C4E;	74
CODE_062;	75
&CDP-8964;	76
&CDP-8BBF;	77
&CDP-8BC5;	78
&CDP-896A;	79
&CDP-89B0;	80
&CDP-89CA;	81
&CDP-89A9;	82
CODE_017;	83
CODE_023;	84
CODE_013;	85
&CDP-8CE4;	86
&CDP-8960;	87
&CDP-88EE;	88
CODE_018;	89
&CDP-8C4B;	90
&CDP-88A1;	91
&CDP-89B9;	92
&CDP-8C66;	93
&CDP-89E0;	94
&CDP-89DF;	95
&CDP-8A77;	96
&CDP-8CBD;	97
CODE_063;	98
&CDP-8BEA;	99
&CDP-8DDF;	100
&CDP-8977;	101
CODE_022;	102
&CDP-89E4;	103
CODE_028;	104
&CDP-8C7A;	105
CODE_041;	106
&CDP-8CD4;	107
&CDP-8959;	108
&CDP-85F0;	109
&CDP-89DE;	110
&CDP-8A4D;	111
&CDP-8846;	112
&CDP-88F1;	113
&CDP-8D6B;	114
CODE_027;	115
&CDP-8AF2;	116
CODE_058;	117
&CDP-8A4E;	118
&CDP-88B9;	119
&CDP-8A49;	120
&CDP-895C;	121
&CDP-88D4;	122
&CDP-88E2;	123
&CDP-8961;	124
&CDP-8AEB;	125
CODE_061;	126
讠	127
丷	128
口	129
儿	130
亻	131
内	132
艹	133
廿	134
禾	135
戈	136
人	137
非	138
一	139
大	140
土	141
宀	142
八	143
兀	144
女	145
雨	146
立	147
尸	148
工	149
𧘇	150
丨	151
日	152
忄	153
几	154
