Class name	Wubi Label Sequece
说	24 20 
㐻	22 12 22 24 
蓳	0 0 10 6 
䆎	19 22 22 6 
喹	10 3 5 
窛	15 22 5 21 
霎	5 20 21 
㞡	13 0 0 4 
児	7 9 16 1 
忛	13 12 24 24 
諓	24 0 0 19 
胘	4 24 23 24 
䌘	20 12 8 8 17 
䀕	7 23 7 7 
銜	19 16 5 7 
柴	7 23 18 
䞷	5 7 13 12 
袚	15 20 3 2 
婼	21 0 3 10 
管	19 15 
层	13 5 2 
䂥	3 13 0 13 
構	18 5 9 5 3 
趐	5 7 13 3 
怇	13 0 13 6 
懣	8 0 12 13 
垁	5 19 3 24 
㬅	9 11 3 13 
㥋	22 24 4 13 
裒	24 21 4 20 
彙	23 6 15 18 
䠋	10 7 17 5 
剄	6 21 0 9 
䩦	22 7 19 5 
疶	20 0 13 21 
噿	10 13 24 5 
黦	11 5 14 1 
唦	10 8 8 19 
踵	10 7 19 5 
誙	24 6 21 0 
㧩	17 12 6 7 
构	18 16 
䏘	4 0 16 13 
懌	13 11 5 5 
坾	5 15 18 7 
䢄	2 10 20 18 
砹	3 0 16 24 
徥	19 9 6 7 6 
譿	24 3 7 13 
㒱	19 24 16 20 
嫪	21 13 22 4 
陱	1 16 14 24 
壡	7 15 6 5 
㾕	20 20 10 13 
铕	16 3 4 6 
冺	20 13 0 13 3 
惂	13 16 21 6 22 
砪	3 23 6 20 
䐢	4 16 1 19 
庖	24 16 13 
䓲	0 22 20 16 
䔊	0 6 20 0 
迯	16 7 15 8 
㧔	17 3 13 19 
湒	8 10 1 6 
呚	10 19 24 15 
阫	1 6 8 24 
儥	22 5 11 12 
烶	14 19 5 15 
汘	8 19 5 7 23 
宄	15 21 1 
棿	18 21 16 13 
㭭	18 10 11 9 
䃐	3 15 22 3 
瀷	8 13 11 22 
翻	19 14 11 13 
䍺	20 3 10 13 
陯	1 22 6 0 
庯	24 6 4 24 
䥐	2 1 19 16 5 
喦	10 10 10 12 15 
匦	0 11 21 
㧖	17 24 13 13 19 
跩	10 7 9 23 
千	19 5 10 
霐	5 8 23 2 
祤	15 24 13 6 
釲	16 13 13 11 
鍔	16 10 10 13 19 
砣	3 15 23 
呝	10 24 13 13 
劯	3 11 13 
亭	24 15 18 
禓	15 24 9 17 
鬲	6 10 12 7 
䤊	18 6 0 1 
楓	18 12 19 9 
俓	22 6 21 0 
杨	18 13 
傜	22 4 17 12 
堵	5 5 19 
硈	3 5 10 6 
覹	7 16 19 19 
橘	18 2 1 10 
䪥	7 15 6 6 
呂	10 19 10 5 
朝	5 9 4 
